dataset,n_clusters,avg_radius1,avg_radius2,avg_radius_sklearn,avg_silhouette1,avg_silhouette2,avg_silhouette_sklearn,avg_adjusted_rand1,avg_adjusted_rand2,avg_adjusted_rand_sklearn,avg_time1,avg_time2,avg_time_sklearn,std_radius1,std_radius2,std_radius_sklearn,std_silhouette1,std_silhouette2,std_silhouette_sklearn,std_adjusted_rand1,std_adjusted_rand2,std_adjusted_rand_sklearn,std_time1,std_time2,std_time_sklearn
1,3,1.3950858707130975,3.487791794843271,1.6900837279633392,0.3329578039839557,0.2617790366537911,0.38737512477949854,0.012009123773538457,0.07957883773184048,-0.0017682040053757168,0.005294322967529297,0.0003174861272176107,0.07660382588704427,4.440892098500626e-16,0.3959797642511478,0.04159617458241845,0.025521098332150587,0.05668460533058007,0.004106019223842527,0.010193380474641843,0.08575181888633619,0.00011613217736623946,0.0014186324025237968,0.0008593569299193091,0.017344254170094168
2,3,1.2422697906513447,3.019129635666651,1.76389983282756,0.4042609383157523,0.36542651016397526,0.44167460526741587,0.3654281683149739,0.3264336311989705,0.39483382088149466,0.0052337249120076495,0.00014293988545735676,0.07971566518147787,0.1961478616817913,0.36672454389196874,0.032310015431998,0.03169586988937616,0.06226598032959959,0.015248597165082622,0.05930629862891255,0.10027748909574699,0.014313378053603587,0.0018557145872326204,5.857182325378736e-05,0.007124125978366295
3,3,1.3286430481767286,3.3088203689557734,1.8122441895740413,0.39711990718016915,0.3132761533912429,0.4360043457464618,0.36936022166532995,0.27989087644365884,0.37834927220036185,0.006613453229268392,0.0001609484354654948,0.08112739721934001,0.2952540107059397,0.3642388699469644,0.029767628032619474,0.03746106551268839,0.08284199092648566,0.017693533250555595,0.054031955137248164,0.10652783359771761,0.019925330582974236,0.002409013713156913,8.997297066270307e-05,0.005181942605327762
4,3,1.275705254126035,3.3472407743388524,0.6880443454750979,0.8437237784269238,0.4660478708191064,0.8437237784269238,1.0,0.6661279710046866,1.0,0.005208269755045573,0.00012255509694417317,0.0787031888961792,4.440892098500626e-16,0.23901016988645948,2.220446049250313e-16,1.1102230246251565e-16,0.24676385360067857,1.1102230246251565e-16,0.0,0.21067036840179226,0.0,0.0016702541502154422,2.7662342615149705e-05,0.007319978873102153
5,3,1.3024500974556557,3.5559469475729646,1.4143501613422815,0.6074865849634126,0.4719532640881177,0.6415339969864268,0.6653520653748898,0.5543171114796149,0.7005488123884436,0.005069740613301595,0.00012045701344807943,0.07985085646311442,4.440892098500626e-16,0.3492649565149458,0.028567786773265838,0.022878305652968098,0.16654627073206396,0.019884204676436087,0.03325397611021022,0.15357527046020003,0.016994600424449714,0.0014716066630634226,3.2268800635766374e-05,0.007190816896331868
6,3,1.406228682703836,3.480358410462368,1.9799172386005468,0.3317091238256427,0.2701023568378712,0.39013161735923507,-0.0005444845521983922,-0.0002039895793585048,-0.0012961551472918586,0.005596709251403808,0.00016772747039794922,0.08182040055592855,0.35876406999725835,0.16515817194254145,0.0680611135161205,0.04466218534654732,0.058371574478299854,0.009405980299289329,0.0009893690133686009,0.0015511836206807575,0.00027811871765893526,0.0018809126301937097,0.00017106644921374513,0.003973144809083826
7,3,1.0597946998249068,3.3934118907798845,1.501364120409226,0.44907887415473036,0.3682071819796194,0.5040682838073818,0.4107270243008544,0.3118947296502229,0.593253425189583,0.007494870821634928,0.00013355414072672525,0.08205866018931071,4.440892098500626e-16,0.3595418785223786,0.011032098804408697,0.033124382742912795,0.10847713418284584,0.0005365597171422476,0.07346934390089846,0.1393566647765285,0.00403156827034229,0.0015584166967760997,5.1280212973869494e-05,0.004175313866181805
8,3,1.090075503400737,3.3782452433679495,2.175717141637288,0.5254665751580472,0.420241372125595,0.5334234229556625,0.47261187182003417,0.2894230329635011,0.49183810467875694,0.007110333442687989,0.00012253920237223308,0.0808670997619629,0.0,0.4066429735269381,0.014745154696173485,0.058681629068661444,0.09861373398036745,0.014602489295928611,0.07137817650930996,0.14253144519631775,0.018325095036162115,0.0012378722266222703,3.5623197636968614e-05,0.007070528529227699
9,3,1.04442373827339,3.2303604839308746,2.166575357965962,0.5668469675829375,0.4332388909776678,0.6256434028291018,0.6048391225024081,0.4510101778198219,0.7674395716724313,0.0072618563969930015,0.00011869271596272786,0.08034937381744385,0.3646275433677038,0.2505299117964875,0.003725832406781194,0.11158947605063543,0.1397999252031179,0.0002811815709875006,0.14800926879402584,0.13349020837886422,0.0020412530439421124,0.0037336802574671766,1.9917022836227463e-05,0.00662672548316884
10,3,0.8276997541073611,2.678978768221205,1.44473743812657,0.5821846739748107,0.564862775171705,0.628444978387412,0.5568510807504673,0.5004058446985133,0.5799110423162968,0.008565831184387206,0.0001290718714396159,0.08264184792836507,2.220446049250313e-16,0.3663668603041584,0.20385184992349414,0.08545800035396765,0.11582657885717486,0.01079430009419048,0.0322478467094157,0.0978088568864511,0.05598626456418498,0.0028682767769765837,2.7827134424370808e-05,0.004453612816546105
